date,domain,source_ip,source_port,destination_ip,destination_port,status,prediction
2024-06-13 09:12:07,,120.233.205.148,20038,10.21.250.9,51935,ALLOW,Normal
2024-06-13 09:12:07,,120.233.205.148,20038,10.21.250.9,51935,ALLOW,Normal
2024-06-13 09:12:07,,120.233.205.148,20038,10.21.250.9,51935,ALLOW,Normal
2024-06-13 09:12:07,,120.233.205.148,20038,10.21.250.9,51935,ALLOW,Normal
2024-06-13 09:12:07,,120.241.118.152,20054,10.21.250.9,51875,ALLOW,Normal
2024-06-13 09:12:08,,120.241.118.152,20054,10.21.250.9,51875,ALLOW,Normal
2024-06-13 09:12:08,,120.233.205.146,20038,10.21.250.9,51938,ALLOW,Normal
2024-06-13 09:12:08,,120.233.205.146,20038,10.21.250.9,51938,ALLOW,Normal
2024-06-13 09:12:08,,120.233.205.146,20038,10.21.250.9,51938,ALLOW,Normal
2024-06-13 09:12:08,,120.233.205.146,20038,10.21.250.9,51938,ALLOW,Normal
2024-06-13 09:12:08,,120.233.205.146,20038,10.21.250.9,51938,ALLOW,Normal
2024-06-13 09:12:08,,120.233.205.146,20038,10.21.250.9,51938,ALLOW,Normal
2024-06-13 09:12:08,,120.233.205.146,20038,10.21.250.9,51938,ALLOW,Normal
2024-06-13 09:12:08,,120.233.205.146,20038,10.21.250.9,51938,ALLOW,Normal
2024-06-13 09:12:08,,120.233.205.146,20038,10.21.250.9,51938,ALLOW,Normal
2024-06-13 09:12:09,,120.233.205.146,20038,10.21.250.9,51938,ALLOW,Normal
2024-06-13 09:12:09,,120.233.205.146,20038,10.21.250.9,51938,ALLOW,Normal
2024-06-13 09:12:09,,120.233.205.146,20038,10.21.250.9,51938,ALLOW,Normal
2024-06-13 09:12:09,,120.233.205.146,20038,10.21.250.9,51938,ALLOW,Normal
2024-06-13 09:12:09,,120.233.205.146,20038,10.21.250.9,51938,ALLOW,Normal
2024-06-13 09:12:09,,120.233.205.146,20038,10.21.250.9,51938,ALLOW,Normal
2024-06-13 09:12:09,,120.233.205.146,20038,10.21.250.9,51938,ALLOW,Normal
2024-06-13 09:12:09,,120.233.205.146,20038,10.21.250.9,51938,ALLOW,Normal
2024-06-13 09:12:09,,120.233.205.146,20038,10.21.250.9,51938,ALLOW,Normal
2024-06-13 09:12:09,,120.233.205.146,20038,10.21.250.9,51938,ALLOW,Normal
2024-06-13 09:12:09,,120.241.118.153,20054,10.21.250.9,51907,ALLOW,Normal
2024-06-13 09:12:09,,120.233.205.146,20038,10.21.250.9,51942,ALLOW,Normal
2024-06-13 09:12:09,,120.233.205.146,20038,10.21.250.9,51942,ALLOW,Normal
2024-06-13 09:12:10,,120.233.205.146,20038,10.21.250.9,51942,ALLOW,Normal
2024-06-13 09:12:10,,120.233.205.146,20038,10.21.250.9,51942,ALLOW,Normal
2024-06-13 09:12:10,,120.233.205.146,20038,10.21.250.9,51942,ALLOW,Normal
2024-06-13 09:12:10,,120.233.205.146,20038,10.21.250.9,51942,ALLOW,Normal
2024-06-13 09:12:10,,120.233.205.148,20038,10.21.250.9,51940,ALLOW,Normal
2024-06-13 09:12:10,,120.233.205.148,20038,10.21.250.9,51940,ALLOW,Normal
2024-06-13 09:12:10,,120.233.205.148,20038,10.21.250.9,51940,ALLOW,Normal
